GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-admin-travel-service,admintravel,AdminTravelApplication,11,0,0,0,4,0,3,0,3,0
ts-admin-travel-service,admintravel.controller,AdminTravelController,0,32,0,0,0,6,0,6,0,6
ts-admin-travel-service,admintravel.entity,AdminTrip,166,3,30,0,4,1,25,1,10,1
ts-admin-travel-service,admintravel.entity,TripId,155,0,28,0,21,0,26,0,10,0
ts-admin-travel-service,admintravel.entity,TravelInfo,397,60,78,0,1,11,52,11,13,11
ts-admin-travel-service,admintravel.entity,TrainType,188,0,20,0,18,0,25,0,15,0
ts-admin-travel-service,admintravel.entity,Trip,420,0,70,0,25,0,58,0,23,0
ts-admin-travel-service,admintravel.entity,Type,114,0,4,0,20,0,9,0,7,0
ts-admin-travel-service,admintravel.entity,Route,255,0,46,0,7,0,38,0,15,0
ts-admin-travel-service,admintravel.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-admin-travel-service,admintravel.config,SecurityConfig,80,0,0,0,16,0,4,0,4,0
ts-admin-travel-service,admintravel.service,AdminTravelServiceImpl,0,260,3,15,0,51,3,12,0,6
ts-admin-travel-service,admintravel.service,AdminTravelServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-admin-travel-service,admintravel.service,AdminTravelServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
