GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-admin-user-service,adminuser.entity,Account,413,0,66,0,18,0,56,0,23,0
ts-admin-user-service,adminuser.entity,Gender,99,0,4,0,16,0,7,0,5,0
ts-admin-user-service,adminuser.entity,DocumentType,99,0,4,0,16,0,7,0,5,0
ts-admin-user-service,adminuser.entity,User.UserBuilder,98,0,0,0,1,0,10,0,10,0
ts-admin-user-service,adminuser.entity,User,335,0,50,0,11,0,46,0,21,0
ts-admin-user-service,adminuser.service,AdminUserServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-admin-user-service,adminuser.service,AdminUserServiceImpl,0,123,0,0,0,17,0,6,0,6
ts-admin-user-service,adminuser.service,AdminUserServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-admin-user-service,adminuser.dto,UserDto.UserDtoBuilder,86,0,0,0,1,0,9,0,9,0
ts-admin-user-service,adminuser.dto,UserDto,223,66,42,0,2,9,30,10,9,10
ts-admin-user-service,adminuser,AdminUserApplication,11,0,0,0,4,0,3,0,3,0
ts-admin-user-service,adminuser.controller,AdminUserController,0,32,0,0,0,6,0,6,0,6
ts-admin-user-service,adminuser.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-admin-user-service,adminuser.config,SecurityConfig,80,0,0,0,16,0,4,0,4,0
