GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-assurance-service,assurance,AssuranceApplication,11,0,0,0,4,0,3,0,3,0
ts-assurance-service,assurance.service,AssuranceServiceImpl,19,347,3,23,3,70,3,20,0,10
ts-assurance-service,assurance.init,InitData,4,0,0,0,2,0,2,0,2,0
ts-assurance-service,assurance.controller,AssuranceController,0,85,0,0,0,16,0,11,0,11
ts-assurance-service,assurance.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-assurance-service,assurance.config,SecurityConfig,80,0,0,0,16,0,4,0,4,0
ts-assurance-service,assurance.entity,PlainAssurance,131,117,23,11,0,9,19,14,2,14
ts-assurance-service,assurance.entity,AssuranceTypeBean,79,77,11,7,0,6,11,10,2,10
ts-assurance-service,assurance.entity,Assurance,101,83,20,10,0,12,18,9,4,8
ts-assurance-service,assurance.entity,AssuranceType,12,66,0,4,6,15,3,8,3,6
