GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-auth-service,auth.config,WebSecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-auth-service,auth.config,WebSecurityConfig,139,0,0,0,26,0,6,0,6,0
ts-auth-service,auth,AuthApplication,11,0,0,0,4,0,3,0,3,0
ts-auth-service,auth.dto,TokenDto,173,12,30,0,6,1,27,1,12,1
ts-auth-service,auth.dto,BasicAuthDto.BasicAuthDtoBuilder,50,0,0,0,1,0,6,0,6,0
ts-auth-service,auth.dto,AuthDto,135,46,30,0,0,6,21,6,6,6
ts-auth-service,auth.dto,BasicAuthDto,161,24,30,0,2,5,23,5,8,5
ts-auth-service,auth.dto,TokenDto.TokenDtoBuilder,50,0,0,0,1,0,6,0,6,0
ts-auth-service,auth.exception,UserOperationException,4,0,0,0,2,0,1,0,1,0
ts-auth-service,auth.controller,UserController,0,27,0,0,0,5,0,5,0,5
ts-auth-service,auth.controller,AuthController,0,24,0,0,0,5,0,3,0,3
ts-auth-service,auth.security.jwt,JWTProvider,60,0,0,0,16,0,3,0,3,0
ts-auth-service,auth.security,UserDetailsServiceImpl,38,0,0,0,6,0,4,0,4,0
ts-auth-service,auth.service.impl,UserServiceImpl,56,118,7,7,6,24,7,7,0,7
ts-auth-service,auth.service.impl,TokenServiceImpl,21,135,1,3,2,21,2,4,1,3
ts-auth-service,auth.exception.handler,GlobalExceptionHandler,9,0,0,0,2,0,2,0,2,0
ts-auth-service,auth.entity,User,185,73,33,5,5,8,30,9,11,9
ts-auth-service,auth.entity,User.UserBuilder,27,35,0,0,0,1,1,6,1,6
ts-auth-service,auth.init,InitUser,87,0,4,0,20,0,4,0,2,0
ts-auth-service,auth.constant,InfoConstant,7,0,0,0,2,0,1,0,1,0
ts-auth-service,auth.constant,AuthConstant,7,0,0,0,2,0,1,0,1,0
