GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-cancel-service,cancel.entity,GetAccountByIdResult,156,0,26,0,6,0,24,0,11,0
ts-cancel-service,cancel.entity,User,335,0,50,0,11,0,46,0,21,0
ts-cancel-service,cancel.entity,NotifyInfo,467,3,86,0,11,2,67,1,24,1
ts-cancel-service,cancel.entity,SeatClass,33,126,4,0,6,15,4,3,2,3
ts-cancel-service,cancel.entity,Order,332,48,38,0,43,14,53,3,34,3
ts-cancel-service,cancel.entity,VerifyResult,113,0,18,0,5,0,18,0,9,0
ts-cancel-service,cancel.entity,GetOrderByIdInfo,83,0,14,0,4,0,14,0,7,0
ts-cancel-service,cancel.entity,Gender,99,0,4,0,16,0,7,0,5,0
ts-cancel-service,cancel.entity,OrderStatus,33,102,4,0,6,13,4,3,2,3
ts-cancel-service,cancel.entity,Account,327,0,50,0,16,0,44,0,19,0
ts-cancel-service,cancel.entity,GetAccountByIdInfo,83,0,14,0,4,0,14,0,7,0
ts-cancel-service,cancel.entity,DocumentType,99,0,4,0,16,0,7,0,5,0
ts-cancel-service,cancel.entity,User.UserBuilder,98,0,0,0,1,0,10,0,10,0
ts-cancel-service,cancel.controller,CancelController,7,35,0,0,3,8,0,5,0,5
ts-cancel-service,cancel,CancelApplication,11,0,0,0,4,0,3,0,3,0
ts-cancel-service,cancel.service,CancelServiceImpl,428,330,31,17,88,54,25,11,3,9
ts-cancel-service,cancel.service,CancelServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-cancel-service,cancel.service,CancelServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-cancel-service,cancel.service,CancelServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-cancel-service,cancel.config,SecurityConfig,89,0,0,0,16,0,4,0,4,0
ts-cancel-service,cancel.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
