GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-consign-price-service,consign.config,SecurityConfig,89,0,0,0,16,0,4,0,4,0
ts-consign-price-service,consign.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-consign-price-service,consign.entity,Consign,448,80,84,0,0,14,55,15,13,15
ts-consign-price-service,consign.entity,ConsignRecord,350,183,81,1,0,14,43,26,2,26
ts-consign-price-service,consign.entity,GetPriceDomain,105,0,12,0,5,0,15,0,9,0
ts-consign-price-service,consign.entity,InsertConsignRecordResult,113,0,18,0,5,0,18,0,9,0
ts-consign-price-service,consign.controller,ConsignController,0,46,0,0,0,9,0,7,0,7
ts-consign-price-service,consign,ConsignApplication,11,0,0,0,4,0,3,0,3,0
ts-consign-price-service,consign.service,ConsignServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-consign-price-service,consign.service,ConsignServiceImpl,5,350,3,11,1,59,3,11,0,7
ts-consign-price-service,consign.service,ConsignServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
