GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-food-service,foodsearch.service,FoodServiceImpl.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
ts-food-service,foodsearch.service,FoodServiceImpl.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
ts-food-service,foodsearch.service,FoodServiceImpl.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
ts-food-service,foodsearch.service,FoodServiceImpl.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
ts-food-service,foodsearch.service,FoodServiceImpl.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
ts-food-service,foodsearch.service,FoodServiceImpl,345,239,33,13,52,50,20,12,2,7
ts-food-service,foodsearch.entity,Food,118,0,16,0,5,0,17,0,9,0
ts-food-service,foodsearch.entity,Route,255,0,46,0,8,0,38,0,15,0
ts-food-service,foodsearch.entity,FoodOrder,259,81,49,1,0,11,28,17,3,17
ts-food-service,foodsearch.entity,AllTripFood,126,0,22,0,5,0,20,0,9,0
ts-food-service,foodsearch.entity,TrainFood,169,0,30,0,6,0,26,0,11,0
ts-food-service,foodsearch.entity,FoodStore,333,0,56,0,10,0,47,0,19,0
ts-food-service,foodsearch.controller,FoodController,0,71,0,0,0,15,0,9,0,9
ts-food-service,foodsearch.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-food-service,foodsearch.config,SecurityConfig,133,0,0,0,20,0,4,0,4,0
ts-food-service,foodsearch,FoodApplication,11,0,0,0,4,0,3,0,3,0
