GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-security-service,security.init,InitData,42,0,0,0,12,0,2,0,2,0
ts-security-service,security,SecurityApplication,11,0,0,0,4,0,3,0,3,0
ts-security-service,security.service,SecurityServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-security-service,security.service,SecurityServiceImpl,8,332,3,11,1,57,3,13,0,9
ts-security-service,security.service,SecurityServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-security-service,security.entity,SecurityConfig,176,36,37,1,0,7,22,10,3,10
ts-security-service,security.entity,Order,379,0,38,0,56,0,56,0,37,0
ts-security-service,security.entity,OrderStatus,135,0,4,0,19,0,7,0,5,0
ts-security-service,security.entity,SeatClass,159,0,4,0,21,0,7,0,5,0
ts-security-service,security.entity,OrderSecurity,86,15,10,0,3,3,12,3,7,3
ts-security-service,security.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-security-service,security.config,SecurityConfig,89,0,0,0,16,0,4,0,4,0
ts-security-service,security.controller,SecurityController,0,64,0,0,0,13,0,8,0,8
