GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-ticketinfo-service,ticketinfo.service,TicketInfoServiceImpl,0,49,0,0,0,7,0,3,0,3
ts-ticketinfo-service,ticketinfo.config,SecurityConfig,79,0,0,0,16,0,4,0,4,0
ts-ticketinfo-service,ticketinfo.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-ticketinfo-service,ticketinfo.entity,Type,39,75,4,0,10,6,7,2,5,2
ts-ticketinfo-service,ticketinfo.entity,TravelResult,234,0,36,0,8,0,33,0,15,0
ts-ticketinfo-service,ticketinfo.entity,Travel,197,15,38,0,1,6,27,5,8,5
ts-ticketinfo-service,ticketinfo.entity,Trip,455,0,70,0,34,0,58,0,23,0
ts-ticketinfo-service,ticketinfo.entity,TrainType,173,0,20,0,12,0,24,0,14,0
ts-ticketinfo-service,ticketinfo.entity,TripId,155,0,28,0,21,0,26,0,10,0
ts-ticketinfo-service,ticketinfo.controller,TicketInfoController,0,19,0,0,0,4,0,4,0,4
ts-ticketinfo-service,ticketinfo,TicketInfoApplication,11,0,0,0,4,0,3,0,3,0
