GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-user-service,user.controller,UserController,0,49,0,0,0,8,0,8,0,8
ts-user-service,user.service.impl,UserServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-user-service,user.service.impl,UserServiceImpl,10,359,3,13,2,67,3,15,0,10
ts-user-service,user.dto,AuthDto,138,47,30,0,1,6,22,6,7,6
ts-user-service,user.dto,Gender,99,0,4,0,16,0,7,0,5,0
ts-user-service,user.dto,UserDto,237,98,50,0,1,11,34,12,9,12
ts-user-service,user.dto,UserDto.UserDtoBuilder,98,0,0,0,1,0,10,0,10,0
ts-user-service,user.dto,AuthDto.AuthDtoBuilder,22,28,0,0,0,1,1,5,1,5
ts-user-service,user.init,InitUser,34,0,2,0,13,0,3,0,2,0
ts-user-service,user.config,SecurityConfig,99,0,0,0,17,0,4,0,4,0
ts-user-service,user.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-user-service,user.entity,User.UserBuilder,42,56,0,0,0,1,1,9,1,9
ts-user-service,user.entity,User,290,45,49,1,4,7,39,7,14,7
ts-user-service,user,UserApplication,8,0,0,0,3,0,2,0,2,0
