GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-admin-basic-info-service,adminbasic.service,AdminBasicInfoServiceImpl,0,480,0,0,0,78,0,22,0,22
ts-admin-basic-info-service,adminbasic,AdminBasicInfoApplication,11,0,0,0,4,0,3,0,3,0
ts-admin-basic-info-service,adminbasic.entity,Station,153,23,24,0,9,7,19,6,7,6
ts-admin-basic-info-service,adminbasic.entity,Contacts,89,62,18,0,15,8,16,9,7,9
ts-admin-basic-info-service,adminbasic.entity,TrainType,161,27,20,0,11,7,17,8,7,8
ts-admin-basic-info-service,adminbasic.entity,PriceInfo,213,26,34,0,0,7,24,8,7,8
ts-admin-basic-info-service,adminbasic.entity,Config,169,12,30,0,2,4,23,4,8,4
ts-admin-basic-info-service,adminbasic.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-admin-basic-info-service,adminbasic.config,SecurityConfig,130,0,0,0,21,0,4,0,4,0
ts-admin-basic-info-service,adminbasic.controller,AdminBasicInfoController,0,204,0,0,0,43,0,23,0,23
