GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-admin-order-service,adminorder.service,AdminOrderServiceImpl,0,304,3,13,0,57,3,11,0,6
ts-admin-order-service,adminorder.service,AdminOrderServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-admin-order-service,adminorder.service,AdminOrderServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-admin-order-service,adminorder.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-admin-order-service,adminorder.config,SecurityConfig,80,0,0,0,16,0,4,0,4,0
ts-admin-order-service,adminorder.controller,AdminOrderController,0,33,0,0,0,6,0,6,0,6
ts-admin-order-service,adminorder,AdminOrderApplication,11,0,0,0,4,0,3,0,3,0
ts-admin-order-service,adminorder.entity,Order,170,209,38,0,25,20,32,24,13,24
ts-admin-order-service,adminorder.entity,OrderStatus,135,0,4,0,19,0,7,0,5,0
ts-admin-order-service,adminorder.entity,SeatClass,159,0,4,0,21,0,7,0,5,0
