GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-food-map-service,food.init,InitData,244,0,10,0,55,0,9,0,4,0
ts-food-map-service,food.service,FoodMapServiceImpl,0,198,3,17,0,35,3,16,0,9
ts-food-map-service,food.controller,TrainFoodController,0,28,0,0,0,7,0,5,0,5
ts-food-map-service,food.controller,FoodStoreController,0,34,0,0,0,8,0,6,0,6
ts-food-map-service,food,FoodMapApplication,8,0,0,0,3,0,2,0,2,0
ts-food-map-service,food.config,SecurityConfig,79,0,0,0,16,0,4,0,4,0
ts-food-map-service,food.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-food-map-service,food.entity,Food,118,0,16,0,5,0,17,0,9,0
ts-food-map-service,food.entity,TrainFood,158,14,29,1,2,5,23,3,8,3
ts-food-map-service,food.entity,FoodStore,322,14,55,1,6,5,44,3,16,3
