GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ts-rebook-service,rebook.config,SecurityConfig,89,0,0,0,16,0,4,0,4,0
ts-rebook-service,rebook.config,SecurityConfig.new WebMvcConfigurerAdapter() {...},36,0,0,0,8,0,2,0,2,0
ts-rebook-service,rebook.entity,Type,114,0,4,0,20,0,9,0,7,0
ts-rebook-service,rebook.entity,SeatClass,33,126,4,0,6,15,4,3,2,3
ts-rebook-service,rebook.entity,TripAllDetail,116,10,22,0,1,4,17,3,6,3
ts-rebook-service,rebook.entity,Ticket,152,0,24,0,6,0,23,0,11,0
ts-rebook-service,rebook.entity,Contacts,151,0,18,0,24,0,25,0,16,0
ts-rebook-service,rebook.entity,TripResponse,419,48,74,0,8,14,57,5,20,5
ts-rebook-service,rebook.entity,Seat,129,144,28,12,0,14,22,14,2,14
ts-rebook-service,rebook.entity,Trip,420,0,70,0,25,0,58,0,23,0
ts-rebook-service,rebook.entity,OrderStatus,33,102,4,0,6,13,4,3,2,3
ts-rebook-service,rebook.entity,PaymentDifferenceInfo,193,19,38,0,4,3,27,5,8,5
ts-rebook-service,rebook.entity,VerifyResult,113,0,18,0,5,0,18,0,9,0
ts-rebook-service,rebook.entity,TripAllDetailInfo,193,19,38,0,4,3,27,5,8,5
ts-rebook-service,rebook.entity,TripId,155,0,28,0,21,0,26,0,10,0
ts-rebook-service,rebook.entity,RebookInfo,236,65,48,0,0,15,28,13,4,13
ts-rebook-service,rebook.entity,Order,304,90,38,0,38,20,44,14,25,14
ts-rebook-service,rebook.entity,OrderTicketsInfo,367,0,64,0,11,0,53,0,21,0
ts-rebook-service,rebook,RebookApplication,11,0,0,0,4,0,3,0,3,0
ts-rebook-service,rebook.controller,RebookController,0,54,0,0,0,6,0,5,0,5
ts-rebook-service,rebook.service,RebookServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-rebook-service,rebook.service,RebookServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-rebook-service,rebook.service,RebookServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
ts-rebook-service,rebook.service,RebookServiceImpl,540,526,68,28,87,103,53,10,6,9
